IDProductos;FechaInicial;FechaFinal
5666;09/09/2025;09/15/2025
6453;08/27/2024;09/02/2024
10432;03/02/2025;03/07/2025
11495;07/20/2025;07/23/2025
12959;02/12/2026;02/16/2026
14095;09/23/2024;10/08/2024
14883;01/24/2026;01/28/2026
1035;03/31/2026;04/08/2026
3858;02/13/2026;03/03/2026
13407;01/02/2024;12/02/2024
13063;04/19/2026;04/26/2026
13756;03/12/2024;03/17/2024
5902;02/10/2024;02/13/2024
7315;08/30/2025;09/04/2025
10377;04/16/2025;04/21/2025
12226;12/27/2025;01/08/2026
13765;11/01/2024;11/04/2024
14077;09/25/2025;11/10/2025
14573;04/23/2026;05/03/2026
3970;01/21/2026;02/11/2026
9302;04/24/2024;04/29/2024
1576;06/20/2024;07/02/2024
4640;03/06/2025;03/10/2025
9312;08/01/2024;08/11/2024
9553;03/14/2026;03/19/2026
10431;05/31/2024;06/11/2024
11402;08/31/2025;11/25/2025
12115;10/26/2024;10/31/2024
13379;04/03/2024;04/15/2024
14059;06/20/2024;08/05/2024
983;03/13/2025;03/17/2025
2135;06/20/2024;06/26/2024
6644;03/27/2024;03/31/2024
8881;05/31/2024;05/20/2025
10422;12/28/2024;01/07/2025
10292;12/28/2024;01/06/2025
7132;12/05/2025;01/19/2026
8760;12/19/2024;12/27/2024
13012;06/07/2025;09/10/2025
12886;05/01/2025;05/04/2025
14167;08/29/2024;09/12/2024
1969;10/09/2024;10/17/2024
2922;01/23/2024;01/28/2024
5562;08/18/2024;08/24/2024
9304;04/17/2025;04/20/2025
9487;03/06/2026;03/09/2026
13241;01/02/2024;04/01/2024
13526;01/31/2026;02/03/2026
13033;12/28/2024;01/06/2025
3936;03/08/2026;03/11/2026
8113;10/24/2025;11/13/2025
10424;11/09/2024;11/12/2024
12255;01/17/2026;01/30/2026
12198;04/11/2025;04/14/2025
144;06/19/2024;08/14/2024
6433;11/17/2024;11/20/2024
7354;06/05/2025;06/08/2025
8652;04/21/2026;04/26/2026
10616;05/12/2024;05/15/2024
13839;02/16/2024;02/20/2024
1237;03/20/2024;03/26/2024
14202;12/11/2024;05/12/2026
1444;12/13/2024;12/16/2024
6685;12/07/2024;12/10/2024
7172;05/21/2024;06/05/2024
8418;01/25/2024;01/28/2024
14467;11/08/2025;11/18/2025
582;01/05/2024;01/09/2024
2427;03/27/2026;03/30/2026
3028;01/28/2024;02/01/2024
6724;02/12/2025;02/16/2025
7133;05/24/2024;05/28/2024
12350;09/17/2024;09/24/2024
1785;04/16/2025;04/20/2025
8092;12/28/2024;01/08/2025
6987;03/28/2024;03/31/2024
9353;05/30/2025;06/11/2025
11185;01/02/2024;01/28/2024
12869;10/19/2024;10/23/2024
12576;09/10/2025;09/26/2025
13404;01/18/2025;01/21/2025
1298;06/01/2025;06/11/2025
2591;10/11/2025;10/16/2025
5580;06/21/2024;06/24/2024
6157;07/16/2024;07/22/2024
7994;03/07/2024;03/17/2024
14118;07/23/2025;07/28/2025
1374;05/04/2025;05/07/2025
2149;07/18/2024;07/22/2024
2399;01/17/2026;05/12/2026
2609;02/15/2025;02/20/2025
4399;11/29/2025;12/12/2025
5230;07/12/2024;07/17/2024
8908;06/05/2025;07/02/2025
10620;12/18/2024;12/25/2024
11180;11/03/2024;11/21/2024
14663;02/27/2026;03/04/2026
1365;10/18/2025;10/21/2025
1807;06/21/2025;06/24/2025
10792;07/11/2025;03/29/2026
9693;04/16/2025;04/21/2025
10408;03/12/2025;03/19/2025
10846;05/29/2024;07/18/2024
13550;03/13/2025;03/17/2025
892;03/27/2024;03/31/2024
5227;06/20/2025;06/25/2025
7319;03/23/2025;03/27/2025
10903;09/13/2024;09/17/2024
15344;11/16/2025;11/26/2025
510;04/01/2026;04/06/2026
1600;09/21/2025;09/26/2025
3127;03/06/2025;03/11/2025
12235;03/19/2024;08/08/2024
313;02/05/2026;02/08/2026
993;01/10/2026;01/16/2026
3102;01/18/2024;01/26/2024
1513;10/10/2025;10/13/2025
8269;05/01/2026;05/05/2026
5581;03/06/2026;03/24/2026
7176;04/28/2026;05/04/2026
14207;04/28/2026;05/11/2026
2584;06/06/2025;06/10/2025
3117;04/23/2026;04/26/2026
5612;02/04/2024;02/08/2024
7285;02/23/2024;02/29/2024
316;01/13/2024;01/16/2024
2975;12/24/2024;01/07/2025
2585;11/23/2024;11/26/2024
8352;05/17/2024;05/29/2024
9361;03/09/2025;03/13/2025
9412;10/08/2024;12/13/2024
10269;07/07/2024;07/10/2024
12970;04/12/2026;04/19/2026
3220;03/01/2025;03/07/2025
6642;02/22/2024;02/29/2024
7418;12/19/2024;12/23/2024
4088;06/20/2024;06/24/2024
6158;02/29/2024;03/05/2024
11693;05/18/2025;05/26/2025
10980;01/28/2026;02/18/2026
14701;02/08/2026;02/11/2026
1512;11/16/2025;12/08/2025
4830;04/30/2024;05/08/2024
7121;01/25/2024;01/31/2024
8753;12/14/2024;01/17/2025
7819;02/27/2025;03/04/2025
8772;03/14/2025;03/24/2025
130;04/24/2026;04/27/2026
4417;01/26/2024;01/30/2024
7042;03/31/2026;04/06/2026
6638;06/28/2025;07/03/2025
8872;03/27/2024;03/31/2024
15232;01/23/2026;05/12/2026
8715;08/30/2024;09/18/2024
12638;12/17/2024;01/15/2025
12400;10/02/2024;10/29/2024
14672;04/01/2025;05/21/2025
6215;05/16/2025;05/20/2025
10010;12/05/2025;12/10/2025
15049;10/29/2025;11/04/2025
15196;05/07/2026;05/12/2026
4193;01/21/2026;01/26/2026
13188;11/21/2024;11/24/2024
13243;09/03/2024;09/09/2024
14049;10/16/2025;10/20/2025
10852;05/01/2024;05/08/2024
12536;02/17/2024;02/23/2024
13345;08/12/2025;08/15/2025
12614;02/12/2026;02/16/2026
2944;11/20/2025;11/26/2025
12639;08/22/2025;08/25/2025
1524;10/31/2024;11/06/2024
3117;05/01/2024;05/06/2024
3392;10/26/2025;10/31/2025
3082;12/28/2024;01/06/2025
3268;04/18/2026;04/22/2026
8966;04/24/2026;04/27/2026
173;12/28/2024;01/06/2025
3111;08/02/2025;08/08/2025
4410;09/06/2024;09/09/2024
8809;05/25/2025;07/02/2025
9871;05/04/2025;05/14/2025
12089;08/17/2024;06/24/2025
2567;06/14/2024;06/17/2024
4052;10/03/2024;10/16/2024
6746;03/02/2024;03/06/2024
12206;11/15/2024;11/25/2024
13342;02/27/2024;03/04/2024
1054;03/01/2025;04/23/2025
333;12/20/2024;01/10/2025
1484;06/26/2025;07/01/2025
3153;06/01/2024;06/04/2024
5721;01/28/2025;03/02/2025
9314;10/31/2024;11/06/2024
12076;06/20/2024;06/26/2024
523;08/16/2024;08/19/2024
2465;03/24/2024;03/31/2024
2122;12/05/2025;12/09/2025
4833;11/19/2025;11/26/2025
6977;03/20/2026;03/23/2026
9194;10/10/2025;10/15/2025
10717;04/16/2025;04/20/2025
10900;04/24/2025;04/27/2025
11357;12/29/2024;01/06/2025
1227;10/25/2025;11/04/2025
4422;12/29/2024;01/06/2025
6676;10/23/2025;10/28/2025
14038;03/08/2026;05/12/2026
617;03/19/2025;03/25/2025
2647;10/13/2024;10/16/2024
7251;10/26/2024;10/31/2024
14267;07/05/2025;07/08/2025
190;04/28/2026;05/03/2026
1159;02/15/2025;02/19/2025
9842;11/03/2024;11/07/2024
12645;09/05/2025;09/11/2025
3146;01/02/2024;01/17/2024
6719;11/16/2025;11/19/2025
7157;01/18/2025;01/21/2025
10279;12/29/2024;01/06/2025
10069;05/21/2024;06/04/2024
13041;03/23/2025;03/26/2025
149;05/10/2024;05/14/2024
604;04/17/2025;04/21/2025
8630;09/04/2024;09/09/2024
10849;01/30/2025;02/07/2025
1095;03/15/2025;04/01/2025
1436;10/26/2024;11/17/2024
5622;04/18/2026;05/10/2026
7376;03/21/2026;03/26/2026
10748;06/26/2025;06/30/2025
4;01/19/2025;01/23/2025
4345;12/27/2025;01/09/2026
8758;03/17/2026;03/25/2026
758;08/22/2024;08/26/2024
674;10/03/2025;10/09/2025
2099;10/26/2025;10/29/2025
2736;02/15/2024;02/18/2024
2832;04/24/2026;04/29/2026
11717;07/14/2024;10/28/2024
14053;01/02/2024;04/21/2024
80;10/12/2025;10/17/2025
991;05/30/2024;06/04/2024
2452;10/04/2024;10/09/2024
7848;04/11/2025;04/14/2025
11104;09/25/2024;11/08/2024
3749;03/15/2026;03/27/2026
14746;01/02/2024;08/27/2025
1635;05/23/2024;05/28/2024
7996;04/30/2024;05/05/2024
10124;05/01/2025;05/06/2025
13403;06/06/2025;06/11/2025
14445;09/02/2025;09/15/2025
636;07/03/2025;07/06/2025
519;07/26/2024;07/30/2024
2690;06/19/2024;07/17/2024
2869;01/17/2024;01/21/2024
6998;12/14/2025;01/09/2026
9696;03/15/2024;03/20/2024
4205;06/20/2025;06/25/2025
6994;05/25/2024;05/28/2024
13057;11/10/2024;11/26/2024
14322;11/20/2025;11/24/2025
2949;07/17/2024;07/22/2024
8894;04/11/2025;04/14/2025
10338;05/07/2026;05/11/2026
13969;03/06/2025;03/14/2025
6940;03/20/2026;03/26/2026
8224;10/05/2024;10/10/2024
8661;06/27/2025;07/01/2025
8809;03/05/2026;04/27/2026
13313;04/05/2025;04/13/2025
14270;03/20/2025;03/25/2025
392;04/22/2025;04/25/2025
1167;05/17/2024;05/27/2024
6613;01/24/2025;01/27/2025
11102;01/02/2024;06/12/2024
14676;02/16/2025;03/03/2025
1448;11/28/2025;12/01/2025
1340;01/06/2024;01/11/2024
3883;11/27/2025;12/12/2025
13476;07/30/2024;08/12/2024
13786;10/13/2024;10/22/2024
190;01/12/2025;01/16/2025
539;12/28/2024;01/06/2025
1442;03/28/2024;03/31/2024
700;11/14/2025;11/18/2025
5224;06/06/2025;06/09/2025
8532;09/24/2025;10/05/2025
9589;03/27/2024;04/01/2024
13524;03/13/2025;03/19/2025
13002;08/02/2025;08/05/2025
14270;06/08/2025;06/11/2025
1814;02/14/2024;03/05/2024
2652;04/27/2025;05/06/2025
10580;04/11/2026;04/22/2026
14590;01/30/2025;03/07/2025
7306;02/22/2025;02/25/2025
8113;01/31/2025;02/10/2025
10477;04/11/2025;06/18/2025
15105;04/19/2026;04/22/2026
3616;02/24/2024;02/27/2024
3626;01/31/2026;02/08/2026
12795;01/12/2025;01/23/2025
14254;01/08/2026;01/13/2026
1296;11/07/2025;11/13/2025
9849;05/03/2025;05/07/2025
12603;11/13/2025;11/23/2025
14322;03/06/2025;03/16/2025
15190;01/02/2024;08/27/2025
1277;04/28/2026;05/12/2026
5228;12/02/2025;12/09/2025
5413;03/06/2026;03/09/2026
5594;01/08/2025;01/12/2025
13193;01/15/2026;01/19/2026
14298;02/24/2026;03/12/2026
14778;09/19/2025;09/24/2025
15655;01/17/2026;03/19/2026
8932;02/19/2025;07/10/2025
11137;08/22/2025;10/22/2025
2568;03/02/2024;03/05/2024
5433;12/27/2025;01/05/2026
8325;06/26/2024;07/17/2024
9939;02/24/2026;03/23/2026
14209;05/20/2025;05/30/2025
5263;01/31/2025;02/03/2025
536;06/01/2025;06/04/2025
1171;02/04/2025;02/07/2025
7057;03/11/2026;03/15/2026
13280;05/16/2025;06/15/2025
17322;05/05/2026;05/10/2026
653;10/12/2024;10/17/2024
5856;12/28/2024;01/08/2025
7014;01/07/2025;01/27/2025
9305;04/14/2024;04/18/2024
12020;12/21/2025;01/07/2026
13191;10/04/2024;10/08/2024
79;04/08/2026;04/14/2026
1087;12/04/2025;12/09/2025
1818;12/19/2024;12/22/2024
1455;04/02/2026;04/06/2026
6304;01/30/2026;02/02/2026
7245;05/23/2025;05/27/2025
9969;03/30/2025;11/17/2025
3053;11/02/2024;12/22/2024
3488;03/06/2024;03/18/2024
4830;08/14/2025;08/22/2025
13386;02/24/2024;07/16/2024
14766;04/10/2025;04/22/2025
2585;03/31/2026;04/10/2026
3579;09/06/2025;09/15/2025
6509;08/27/2024;09/10/2024
6676;03/22/2025;03/30/2025
13946;03/21/2024;04/11/2024
14702;03/02/2025;03/10/2025
14844;02/12/2026;02/15/2026
2977;07/20/2024;08/05/2024
3508;10/11/2024;10/17/2024
5799;05/04/2025;05/07/2025
5762;05/21/2025;05/25/2025
